user_genome, fam
AtH2023_SRR17241508_MAG01, Lactobacillaceae
AtH2023_SRR17241508_MAG02, Butyricicoccaceae
AtH2023_SRR17241508_MAG03, Megasphaeraceae
AtH2023_SRR17241508_MAG04, Treponemataceae
AtH2023_SRR17241508_MAG05, Lachnospiraceae
AtH2023_SRR17241508_MAG06, Bacteroidaceae
AtH2023_SRR17241508_MAG07, Oscillospiraceae
AtH2023_SRR17241508_MAG08, Acutalibacteraceae
AtH2023_SRR17241508_MAG09, Bacteroidaceae
AtH2023_SRR17241508_MAG10, Oscillospiraceae
AtH2023_SRR17241508_MAG11, Lachnospiraceae
AtH2023_SRR17241508_MAG12, Butyricicoccaceae
AtH2023_SRR17241508_MAG13, Paludibacteraceae
AtH2023_SRR17241508_MAG14, Lachnospiraceae
AtH2023_SRR17241508_MAG15, UBA1067
AtH2023_SRR17241508_MAG16, Acutalibacteraceae
AtH2023_SRR17241508_MAG17, UBA932
AtH2023_SRR17241508_MAG18, Treponemataceae
AtH2023_SRR17241508_MAG19, Lachnospiraceae
AtH2023_SRR17241508_MAG20, Muribaculaceae
AtH2023_SRR17241508_MAG21, Fibrobacteraceae
AtH2023_SRR17241508_MAG23, UBA932
AtH2023_SRR17241508_MAG24, Treponemataceae
AtH2023_SRR17241508_MAG25, UBA932
AtH2023_SRR17241508_MAG26, Anaerovoracaceae
AtH2023_SRR17241508_MAG27, Bacteroidaceae
AtH2023_SRR17241508_MAG28, UBA932
AtH2023_SRR17241508_MAG29, UBA932
AtH2023_SRR17241508_MAG30, Lachnospiraceae
AtH2023_SRR17241508_MAG31, Acutalibacteraceae
AtH2023_SRR17241508_MAG32, Lachnospiraceae
AtH2023_SRR17241508_MAG33, Ruminococcaceae
AtH2023_SRR17241508_MAG34, Lachnospiraceae
AtH2023_SRR17241508_MAG35, Lachnospiraceae
AtH2023_SRR17241508_MAG36, Acutalibacteraceae
AtH2023_SRR17241508_MAG37, Acutalibacteraceae
AtH2023_SRR17241508_MAG38, Anaerovoracaceae
AtH2023_SRR17241508_MAG22, Methanobacteriaceae
